A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,k-tsallis1,k-tsallis2,k-tsallis3,k-tsallis4,k-tsallis5
2,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,1,1,1,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,86.00000000000006,52.028566098074315,1948.0,20.32753451424612,0.33333333333333315,1.876027617729605,205.2949098248663,206.4989958670929,30.854722274438,34.42963610794825,52.028566098074315,83.3219455895536,1927.6724654857542,42641.83529411765,48.89230948160534,24.44615474080267,2.38715011424263,0.4964287803955717,0.27493193097912194,0.6324743533870216,0.7413138934176583,0.7610105457490921,0.7653371657360821,0.7665514628571315
1,1,1,1,0,1,2,1,0,1,1,2,0,1,2,2,2,0,1,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,1,3,2,2,0,0,0,2,1,2,1,0,0,1,2,0,3,0,0,1,0,0,2,0,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,2,1,0,0,1,1,2,2,0,0,0,2,0,0,2,0,0,3,1,2,0,0,1,1,1,2,0,0,2,1,1,1,3,1,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,1,1,2,1,0,1,1,2,0,0,0,3,1,0,1,0,0,0,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,2,6,2,1,3,0,2,0,0,0,0,0,2,1,1,0,2,1,1,1,2,2,0,1,0,1,0,2,0,3,1,1,1,0,0,1,1,0,0,2,1,0,3,3,0,2,0,1,1,0,0,0,0,1,0,0,2,0,2,1,0,1,0,0,4,1,3,2,1,0,2,2,1,0,0,1,1,2,1,3,3,222.0,144.01338788581666,12558.0,5.432106888420585,0.33333333333333337,3.1316591544947454,835.1838121036591,837.0712355550543,66.92581881154861,98.32459074536925,144.01338788581666,233.9820552286149,12552.56789311158,700688.2533936652,135.6574644832457,67.82873224162284,3.7620892437101765,0.2801297546144393,0.2699244232311465,0.6386850294520859,0.7438225756192053,0.7634035722590663,0.7672836288616911,0.7682491293340965
1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.99999999999999,40.314530382082424,1009.0,7.159413487629753,0.33333333333333337,1.6201007907175808,124.85191228010885,125.88804550075436,16.832745385178058,24.92074444615345,40.314530382082424,68.52486632057588,1001.8405865123704,15847.8,43.604121874422425,21.802060937211213,2.0467526603296538,0.4970401151287725,0.3232458431369295,0.6267147257702016,0.7373536577368455,0.7588749167905152,0.7639233031763641,0.7646005988719059
2,1,2,1,0,0,0,0,1,1,0,0,2,1,0,1,0,1,3,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,78.99999999999999,43.698265270517425,1737.0,13.894603058364778,0.33333333333333337,1.8496409498025872,191.32694530567298,192.54949413672242,24.859771022805738,34.18961941197473,43.698265270517425,70.92959164495355,1723.105396941635,37075.307692307695,36.739972232978815,18.369986116489407,2.4218600671604182,0.5535300008017612,0.1845820140745921,0.6202255511671317,0.7366476763011839,0.7598145171202046,0.7646374113347553,0.7658746708933512
1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,2,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,3,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,1,1,1,3,1,0,4,114.0,80.91196331237526,3338.0,6.0,0.3333333333333333,2.2240902675040637,308.12010645201326,309.48046673745887,38.905036786669704,49.760104745094154,80.91196331237526,107.28626698484098,3332.0,95778.15929203539,57.52616223974682,28.76308111987341,2.7028079513334493,0.3221604432307104,0.2336959739794114,0.6371123964674533,0.7436734850054453,0.7617164396445665,0.7659922296271523,0.7670279027109046
2,3,1,2,1,0,1,1,4,1,0,0,1,2,1,1,2,1,1,1,2,1,1,2,3,0,1,1,2,2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,3,0,0,1,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,1,0,0,0,0,0,2,3,0,2,1,1,2,0,0,1,1,0,0,0,0,1,0,0,1,1,3,1,0,1,1,2,0,1,1,2,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,1,5,0,4,1,0,3,3,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,3,0,0,1,1,1,1,3,1,0,1,0,3,3,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,5,1,1,2,1,0,0,1,2,2,1,0,3,203.99999999999974,124.47836497800604,10834.0,5.0293809191034855,0.3333333333333337,3.019204915782225,754.0941585770308,755.9492515612146,62.444316969999285,82.45623251414426,124.47836497800604,196.4324221232178,10828.970619080896,571459.2709359606,113.97618960907354,56.98809480453677,3.6965399930246647,0.3163595717491714,0.25512824579463583,0.6346543174610539,0.7442523510656792,0.7632743289593955,0.7669713518702181,0.767978202813443
0,2,0,3,0,0,2,0,0,2,1,0,2,1,1,1,2,0,1,0,0,1,2,1,1,4,2,1,0,0,0,1,2,0,0,2,1,2,1,0,2,0,1,1,2,0,1,1,3,0,0,1,0,0,0,1,1,2,2,1,2,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,0,0,1,2,3,1,0,3,0,4,3,2,0,1,3,0,3,1,3,3,1,1,1,0,2,1,0,1,1,1,1,2,0,1,2,1,3,4,0,3,1,1,1,0,1,1,1,1,1,1,1,3,0,2,0,1,1,0,1,3,2,1,2,1,3,0,2,0,2,0,1,0,1,1,0,3,5,0,4,0,4,0,1,0,1,3,1,0,1,0,1,0,1,0,4,2,4,1,2,1,2,0,2,1,2,2,2,0,1,1,1,1,0,1,0,1,1,0,1,2,0,0,0,3,0,0,3,3,1,1,0,3,2,0,1,0,0,2,2,1,2,1,1,1,0,2,0,4,2,0,1,1,1,1,2,5,2,0,0,2,1,1,2,2,3,303.99999999999983,213.90245465416385,23418.0,16.038134579180372,0.3333333333333335,3.70641749292494,1334.8902576616554,1337.09123237585,94.331110580846,127.43868988436886,213.90245465416385,292.7324655558399,23401.96186542082,1787812.9636963697,165.29377567147102,82.64688783573553,4.391086373887027,0.2024830389510693,0.2573889320006681,0.6397977843514158,0.7458344430442864,0.7644827689092139,0.7678876534116122,0.7685676431333182
0,1,0,0,2,0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,87.00000000000001,64.81026767102995,1901.0,14.868398516516507,0.3333333333333333,1.8810614358978168,198.11612756158948,199.26463647330203,28.891206620250077,41.45193134289008,64.81026767102995,85.20179164555731,1886.1316014834838,39706.395348837206,43.749860302667244,21.874930151333622,2.2771968685240167,0.336010994189332,0.25328746281417186,0.6414754444084205,0.7397737691160555,0.7602430310127452,0.7651609356733103,0.766421979254255
1,1,1,1,0,0,2,0,0,0,0,0,2,2,0,0,2,0,1,1,1,1,0,0,1,1,1,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1,0,0,1,1,0,1,2,1,0,2,0,0,1,1,1,1,0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,3,1,0,2,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,2,1,0,2,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,148.00000000000009,108.57383192316234,5548.0,18.1731398054649,0.33333333333333315,2.514032527416632,449.41072528367636,450.9367423244986,56.10178182553326,64.35329967105552,108.57383192316234,153.7542479922417,5529.826860194535,203343.9455782313,89.40094832118616,44.70047416059308,3.036558954619433,0.26318576210181377,0.3161079029655122,0.639852851411668,0.7469062635010772,0.7645051530538511,0.7674316284418238,0.7679058519356694
0,2,1,1,0,1,2,1,1,0,0,0,0,0,0,1,1,1,2,0,1,1,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,1,2,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,1,1,2,0,2,2,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,3,2,1,2,2,0,1,1,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,2,2,0,0,0,0,1,0,1,2,1,0,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,1,1,1,0,2,0,0,0,2,2,1,0,0,1,1,0,0,1,2,0,0,0,1,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,3,0,0,1,2,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,3,163.00000000000009,103.48448700323785,6675.0,14.962737035301659,0.33333333333333315,2.7008265037932127,517.5248786290376,519.1197202482462,51.61511744615333,57.40982287015718,103.48448700323785,167.79333615335537,6660.037262964698,269485.2839506173,110.3835132831982,55.1917566415991,3.1749992553928674,0.3450008808528587,0.27809060131666524,0.6414182847800173,0.7469101231766307,0.7645920295234979,0.7674197346829431,0.7679399736879294
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86.00000000000006,57.030652529835656,1868.0,8.904830280651687,0.33333333333333315,1.899381005965471,196.7841457028487,197.93831481193385,31.65404864484176,38.43372637861279,57.030652529835656,88.45923366621706,1859.0951697193484,39179.57647058823,50.02550728760428,25.012753643802128,2.2881877407307973,0.44164148539551307,0.2559220320527309,0.6403937262227174,0.7399190576243178,0.7599997211402281,0.7647803828640447,0.7660829180325178
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,1,0,1,2,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,92.00000000000004,68.7081857604389,2142.0,1.322312659455892,0.3333333333333332,1.9653252066590077,219.40829519414254,220.61054142767293,27.05315353519783,32.461261560340965,68.7081857604389,98.5297539820372,2140.6776873405443,48669.01098901099,66.06849242169622,33.03424621084811,2.3848727738493745,0.31847220113922514,0.29945703169389937,0.6400249326788721,0.7442502819248655,0.7619852901076378,0.7653936523709068,0.7662668028589219
1,1,1,2,2,2,0,1,1,0,0,1,2,1,1,1,0,1,2,0,1,2,0,1,0,1,0,0,0,0,1,2,2,0,0,1,2,0,0,0,0,2,0,2,0,2,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,2,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,0,1,2,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,2,2,1,0,2,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,1,0,0,2,2,1,2,1,0,0,0,2,1,0,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,2,0,1,1,0,1,0,0,1,0,0,3,1,0,0,0,0,2,0,1,0,0,2,1,1,0,0,3,0,2,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,2,0,0,161.00000000000006,107.4173004791308,6635.0,19.54903435543016,0.3333333333333332,2.6064047247428186,515.699524917369,517.3085757069952,62.17768485579533,72.73674193655445,107.4173004791308,162.6696643770971,6615.450965644571,267608.1625,89.93292244054264,44.96646122027132,3.2031026392383155,0.3117088358542984,0.28795392862991465,0.6377497129171541,0.7448375981662899,0.7636170582409599,0.7673108847202946,0.7679555822201025
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,3,0,0,63.99999999999999,44.77103529635942,1124.0,6.804040507106677,0.33333333333333337,1.6395762093583277,136.85759021698428,137.9394852364673,20.680258434869387,28.74331389080133,44.77103529635942,60.28546675751511,1117.1959594928933,19027.301587301587,31.54215286671377,15.771076433356885,2.13839984714038,0.4215103745394068,0.26221389324101635,0.6238943696544674,0.7367722848261065,0.7596905443238119,0.7643238756743546,0.7651111319453147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,4,1,0,1,0,0,0,1,2,4,1,2,7,89.99999999999994,53.993946842296964,2844.0,12.336836760652364,0.3333333333333336,2.1146669317485043,294.45882564460516,296.10846782741817,23.38844948847075,34.528762468782936,53.993946842296964,74.98502014474144,2831.6631632393483,87680.22471910113,40.4562576759585,20.22812883797925,3.2717647293845045,0.36683620956731183,0.2634624781020813,0.5613516988930118,0.706831631109778,0.7478373107140981,0.7592765228832259,0.7641199961922951
4,3,2,2,3,0,0,1,0,1,0,0,0,2,1,0,2,1,2,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,0,1,3,2,0,1,1,0,2,0,0,0,1,0,0,0,1,1,3,0,1,1,2,2,1,2,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,1,1,1,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,2,1,1,2,5,2,0,0,0,1,0,0,0,0,1,0,2,2,3,2,0,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,2,1,0,0,0,3,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,1,1,0,0,0,1,1,0,0,3,1,0,3,2,1,0,0,1,1,0,1,1,1,3,2,1,2,1,2,1,2,1,3,0,0,0,1,0,1,0,2,1,0,2,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,0,1,1,2,0,1,2,2,1,1,0,0,0,1,1,1,0,4,214.0000000000001,141.7862282499025,11622.0,26.730113478052782,0.3333333333333331,3.035988335223598,786.7426516974913,788.5873028855464,75.99878314376733,91.82087593695248,141.7862282499025,209.37491526144044,11595.269886521946,621869.9342723005,117.55403932448796,58.777019662243966,3.6763675312966857,0.2753649046265172,0.2644250986444616,0.6394896906053746,0.7452206578928783,0.7637265317177171,0.7672351530460388,0.7681642300956198
3,1,0,0,2,3,0,1,5,1,0,0,0,0,0,0,3,2,1,0,0,1,1,2,0,1,3,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,1,0,1,0,2,2,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2,1,0,1,0,3,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,0,1,1,0,1,0,2,1,1,2,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,140.99999999999994,93.93372252718656,5105.0,17.015627897570813,0.3333333333333335,2.4484110700402244,424.1414858275479,425.65358148213835,47.7965295307095,68.2091585824117,93.93372252718656,121.84130351485227,5087.984372102429,181180.9714285714,53.63214493244057,26.816072466220284,3.0080956441670077,0.33290502612104844,0.1650793606645026,0.6372697065387941,0.7433173069980482,0.7625541453579955,0.7666658128246296,0.7676461548176228
